code,system
1C9..00,readv2
1C9..11,readv2
1C92.00,readv2
1C93.00,readv2
1C9Z.00,readv2
1CB3.00,readv2
1CB3.11,readv2
2DC1.00,readv2
2DC1.11,readv2
2DC3.00,readv2
H02..11,readv2
R041.00,readv2
H00..00,readv2
H02..00,readv2
H02..13,readv2
H02z.00,readv2
H050.00,readv2
H053.00,readv2
H271100,readv2
H02..12,readv2
H024.00,readv2
H036.00,readv2
H03..00,readv2
H03..11,readv2
H03..12,readv2
H030.00,readv2
H031.00,readv2
H032.00,readv2
H037.00,readv2
H03z.00,readv2
H052.00,readv2
H055.00,readv2
J083600,readv2